Table 3. Serum Cytokine Profiles of Patients with ANDV Infection.*,,,,,,
"Non–Super-
All Spreaders Nonspreaders Odds Ratio Super-Spreaders Spreaders Odds Ratio
Biomarker (N = 18) (N = 33) (95% CI) (N = 5) (N = 46) (95% CI)
pg/ml pg/ml",,,,,,
Cytokines,,,,,,
IL-1β 46.54±97.32 15.15±7.79 2.43 (1.28–5.48) 20.26±2.63 26.88±62.22 0.97 (∞–1.11),,,,,,
IL-18,456.90±202.45,362.57±215.66,2.82 (0.73–12.20),473.84±264.22,387.38±209.54,2.33 (0.28–16.00)
IL-13 15.40±9.80 11.90±NC 1.61 (0.61–4.68) 10.34±4.26 13.55±NC 0.55 (0.03–2.68),,,,,,
IL-10,113.29±88.18,118.00±NC,0.96 (0.65–1.39),62.29±41.70,122.41±NC,0.44 (0.12–1.02)
Chemokines,,,,,,
MIP-1β,557.23±1116.10,304.89±60.20,1.09 (0.97–∞),250.34±20.82,409.56±697.90,0.09 (0.00–0.81)
TRAIL 128.38±96.95 118.93±40.63 1.12 (0.70–1.79) 76.32±28.60 127.26±66.44 0.19 (0.02–0.80),,,,,,
Growth factors,,,,,,
PDGF-BB 3005.54±2061.08 3405.22±2890.86 0.97 (0.83–1.08) 1566.92±1022.70 3448.64±2672.30 0.53 (0.26–0.88),,,,,,
GRO-α,593.66±123.33,671.57±238.06,0.76 (0.46–1.08),528.53±65.93,656.63±213.51,0.38 (0.08–1.00)
SCF 233.92±66.24 203.10±72.44 1.20 (0.94–1.58) 245.64±96.40 210.53±68.45 1.21 (0.83–1.73),,,,,,
SCGF-β,"206789.86
±66292.25","256201.74
±60504.82",0.27 (0.09–0.73),"169924.61
±38430.51","246244.61
±64655.76",0.10 (0.01–0.59)
